id,code,year,fraud,profit_sales,sales_totalasset,roa,leverage,account_receivable,account_payable,inventory,sales,firm_size,totalasset,name_auditor,name_auditor_before,audit,industry,totaldebt,ni,operate_cashflow
ABS.2019,ABS,2019,0,0.0417,1.1924,0.0498,0.3918,"73,043,838,336","49,634,184,526","10,671,500,544","790,964,126,368",27.22,"663,350,291,172",NVT,NVT,1,Industrials,"259,922,636,372","33,021,177,534","-4,795,147,473"
ABS.2020,ABS,2020,0,0.0434,0.9435,0.0409,0.6280,"523,720,274,287","474,886,874,015","-14,568,013,329","1,103,996,073,104",27.79,"1,170,095,773,785",NVT,NVT,1,Industrials,"734,809,510,387","47,909,667,474","-272,393,529,574"
ABS.2021,ABS,2021,0,0.0545,0.7525,0.0410,0.4184,"61,685,090,831","-68,261,884,963","14,957,535,545","1,198,699,189,061",28.10,"1,592,951,748,069",NVT,NVT,1,Industrials,"666,547,625,424","65,351,945,620","-562,805,723,247"
ABS.2022,ABS,2022,0,0.0140,0.9617,0.0135,0.4574,"89,759,908,571","97,047,274,519","-15,065,681,942","1,605,396,430,616",28.14,"1,669,271,116,551",AASCN,NVT,2,Industrials,"763,594,899,943","22,539,691,244","-60,702,561,918"
ABS.2023,ABS,2023,0,0.0081,0.6492,0.0052,0.4213,"243,881,845,869","-98,352,781,724","-1,396,936,258","1,025,222,515,712",28.09,"1,579,205,344,498",AASCN,AASCN,1,Industrials,"665,242,118,219","8,287,009,671","-454,578,354,158"
ABT.2017,ABT,2017,0,0.0731,0.6085,0.0445,0.3629,"10,156,954,477","-3,345,923,931","-15,893,490,212","385,995,999,993",27.18,"634,346,217,726",EY,EY,0,Consumer Staples,"230,224,011,402","28,224,983,257","15,797,234,254"
ABT.2018,ABT,2018,0,0.1678,0.7426,0.1246,0.2164,"-13,322,292,228","-114,356,688,584","27,843,151,073","397,683,541,802",27.01,"535,545,315,630",EY,EY,0,Consumer Staples,"115,867,322,818","66,728,981,488","59,372,682,609"
ABT.2019,ABT,2019,0,0.1348,0.6707,0.0904,0.2327,"-3,317,023,734","9,452,636,484","39,597,045,896","361,150,388,856",27.01,"538,461,616,877",EY,EY,0,Consumer Staples,"125,319,959,302","48,695,389,251","-19,132,960,700"
ABT.2020,ABT,2020,0,0.0431,0.6094,0.0263,0.2446,"-7,576,054,830","7,671,804,806","-7,327,050,475","331,313,624,769",27.02,"543,675,163,240",EY,EY,0,Consumer Staples,"132,991,764,108","14,288,053,557","9,605,065,116"
ABT.2021,ABT,2021,0,0.0984,0.5780,0.0569,0.2956,"11,075,735,584","42,686,540,778","21,699,037,806","343,461,764,566",27.11,"594,273,998,812",EY,EY,0,Consumer Staples,"175,678,304,886","33,793,208,794","-1,912,834,571"
ABT.2022,ABT,2022,0,0.1041,0.9918,0.1033,0.2436,"-6,066,382,280","-24,029,859,539","-68,527,122,851","617,431,964,793",27.16,"622,539,909,687",EY,EY,0,Consumer Staples,"151,648,445,347","64,289,101,233","133,837,850,681"
ABT.2023,ABT,2023,0,0.1199,0.8179,0.0981,0.2465,"45,125,322,829","8,916,548,271","-16,515,996,861","532,793,012,065",27.20,"651,384,406,231",EY,EY,0,Consumer Staples,"160,564,993,618","63,871,593,981","59,926,096,797"
ACC.2017,ACC,2017,0,0.0954,0.8311,0.0793,0.3284,"-62,153,389,484","8,592,679,209","67,254,803,023","276,653,459,198",26.53,"332,878,814,018",A&C,A&C,1,Materials,"109,308,060,844","26,403,430,478","38,862,578,442"
ACC.2018,ACC,2018,0,0.0875,1.0366,0.0907,0.3680,"-22,839,248,935","25,761,930,218","23,388,864,003","380,465,658,840",26.63,"367,048,564,435",A&C,A&C,1,Materials,"135,069,991,062","33,274,982,048","63,862,397,591"
ACC.2019,ACC,2019,0,0.0968,0.9530,0.0923,0.4999,"86,808,752,952","113,367,185,246","-71,042,023,151","473,660,634,571",26.93,"497,020,015,810",AFC,A&C,2,Materials,"248,437,176,308","45,862,526,564","23,603,076,459"
ACC.2020,ACC,2020,0,0.1341,0.5311,0.0712,0.4450,"45,612,905,721","157,840,516,194","275,942,707,521","484,924,186,610",27.54,"913,004,267,902",AFC,AFC,1,Materials,"406,277,692,502","65,030,620,646","-271,566,899,633"
ACC.2021,ACC,2021,0,0.1091,0.3003,0.0327,0.5959,"216,770,929,052","294,199,343,222","182,525,544,189","352,999,336,076",27.79,"1,175,563,025,601",AFC,AFC,1,Materials,"700,477,035,724","38,497,402,252","-457,486,593,390"
ACC.2022,ACC,2022,0,0.1270,0.3059,0.0389,0.4208,"530,198,308,451","183,169,227,890","375,191,052,275","642,242,686,748",28.37,"2,099,774,620,511",AFC,AFC,1,Materials,"883,646,263,614","81,593,658,179","-438,757,901,789"
ACC.2023,ACC,2023,0,0.1077,0.2770,0.0298,0.4536,"-167,111,266,402","183,355,665,205","94,515,735,852","651,590,436,819",28.49,"2,352,042,742,360",Anviet,AFC,2,Materials,"1,067,001,928,819","70,154,709,497","-378,501,209,725"
ACG.2017,ACG,2017,1,0.1606,1.1483,0.1844,0.2605,,,,"3,209,488,821,909",28.66,"2,795,064,561,890",Unaudited,Null,4,Materials,"728,067,417,667","515,322,292,979","13,859,533,593"
ACG.2018,ACG,2018,0,0.1293,1.0951,0.1416,0.2855,"-9,780,613,252","290,862,182,433","380,570,896,135","3,908,085,937,778",28.90,"3,568,828,702,627",PWC,Unaudited,0,Materials,"1,018,929,600,100","505,189,736,129","44,355,571,179"
ACG.2019,ACG,2019,0,0.1086,1.0719,0.1164,0.1935,"110,648,247,808","-210,191,683,468","-66,850,179,114","4,479,882,587,367",29.06,"4,179,446,268,098",PWC,PWC,0,Materials,"808,737,916,632","486,382,202,889","383,603,378,892"
ACG.2020,ACG,2020,0,0.1301,0.8492,0.1105,0.2103,"5,784,791,539","127,688,187,744","-186,987,297,958","3,781,468,964,050",29.12,"4,453,117,612,700",PWC,PWC,0,Materials,"936,426,104,376","491,977,935,402","801,860,429,353"
ACG.2021,ACG,2021,0,0.1362,0.6649,0.0906,0.2421,"245,737,272,504","269,694,016,158","247,336,628,746","3,312,950,679,602",29.24,"4,982,919,025,724",PWC,PWC,0,Materials,"1,206,120,120,534","451,279,222,834","170,164,358,901"
ACG.2022,ACG,2022,0,0.1365,0.8249,0.1126,0.2844,"314,103,148,088","348,869,525,440","86,555,856,244","4,509,669,871,101",29.33,"5,467,207,015,864",PWC,PWC,0,Materials,"1,554,989,645,974","615,581,289,335","388,380,051,156"
ACG.2023,ACG,2023,0,0.1156,0.6843,0.0791,0.2442,"-11,359,363,272","-206,461,511,414","-332,353,029,720","3,778,719,611,534",29.34,"5,522,084,035,551",PWC,PWC,0,Materials,"1,348,528,134,560","436,716,800,582","613,900,267,221"
ACL.2017,ACL,2017,0,0.0181,1.0826,0.0196,0.6599,"50,851,710,450","-107,006,886,601","-137,580,418,994","1,190,428,764,485",27.73,"1,099,634,179,516",A&C,A&C,1,Consumer Staples,"725,671,599,309","21,578,362,657","149,988,009,881"
ACL.2018,ACL,2018,0,0.1360,1.2606,0.1715,0.5841,"78,859,438,007","58,942,924,247","137,006,748,459","1,693,524,925,329",27.93,"1,343,377,979,470",A&C,A&C,1,Consumer Staples,"784,614,523,556","230,400,225,707","158,021,733,144"
ACL.2019,ACL,2019,0,0.0995,0.9743,0.0970,0.5440,"-99,646,966,883","10,297,064,905","244,268,366,577","1,423,665,921,140",28.01,"1,461,188,059,832",A&C,A&C,1,Consumer Staples,"794,911,588,461","141,712,527,957","5,269,349,294"
ACL.2020,ACL,2020,0,0.0294,0.5780,0.0170,0.5815,"-23,454,652,003","170,170,623,043","267,894,454,317","959,133,319,943",28.14,"1,659,542,087,782",A&C,A&C,1,Consumer Staples,"965,082,211,504","28,183,404,907","-217,551,598,340"
ACL.2021,ACL,2021,0,0.0344,0.8394,0.0289,0.5155,"-103,337,742,768","-213,355,537,107","-121,763,646,860","1,224,022,685,706",28.01,"1,458,179,314,834",A&C,A&C,1,Consumer Staples,"751,726,674,397","42,088,175,559","361,838,886,141"
ACL.2022,ACL,2022,0,0.1005,0.7925,0.0796,0.4435,"28,605,196,261","-94,757,077,849","69,894,433,310","1,174,022,468,086",28.02,"1,481,370,067,070",A&C,A&C,1,Consumer Staples,"656,969,596,548","117,947,830,085","51,857,134,959"
ACL.2023,ACL,2023,0,0.0088,0.6390,0.0056,0.5431,"55,390,370,077","293,068,677,195","170,538,897,406","1,117,774,370,779",28.19,"1,749,180,174,427",A&C,A&C,1,Consumer Staples,"950,038,273,743","9,852,743,462","-192,889,183,027"
ADC.2017,ADC,2017,0,0.0310,2.7682,0.0858,0.5530,"6,517,511,133","14,430,824,517","6,987,513,250","303,921,066,463",25.42,"109,789,631,130",AAC,AAC,1,Communication Services,"60,710,470,373","9,415,271,399","7,419,586,012"
ADC.2018,ADC,2018,0,0.0287,2.9679,0.0850,0.5500,"-1,619,674,555","3,961,722,017","8,345,653,392","348,973,966,601",25.49,"117,584,604,798",AAC,AAC,1,Communication Services,"64,672,192,390","10,000,305,931","5,702,948,921"
ADC.2019,ADC,2019,0,0.0292,2.9380,0.0858,0.5526,"1,578,896,232","6,604,349,577","-966,180,214","378,917,948,546",25.58,"128,972,405,982",AAC,AAC,1,Communication Services,"71,276,541,967","11,067,512,794","13,635,927,225"
ADC.2020,ADC,2020,0,0.0325,2.7726,0.0901,0.5372,"-534,654,000","2,501,510,998","3,598,300,019","380,804,401,650",25.65,"137,345,274,788",AAC,AAC,1,Communication Services,"73,778,052,965","12,368,860,367","8,070,471,117"
ADC.2021,ADC,2021,0,0.0347,2.0812,0.0722,0.5349,"26,156,259,357","3,144,842,383","10,072,557,663","299,308,198,903",25.69,"143,816,621,765",AAC,AAC,1,Communication Services,"76,922,895,348","10,390,276,667","-21,584,207,334"
ADC.2022,ADC,2022,0,0.0337,2.4106,0.0812,0.5530,"-2,107,647,370","12,633,863,603","17,425,286,914","390,415,031,494",25.81,"161,955,513,908",AAC,AAC,1,Communication Services,"89,556,758,951","13,152,194,273","4,800,975,323"
ADC.2023,ADC,2023,0,0.0330,2.6605,0.0877,0.5190,"-9,272,788,764","-5,342,004,822","-10,464,838,087","431,661,958,216",25.81,"162,247,976,401",AAC,AAC,1,Communication Services,"84,214,754,129","14,231,810,170","28,492,648,863"
ADG.2017,ADG,2017,0,0.0644,2.1930,0.1413,0.4800,,,,"246,545,424,510",25.45,"112,424,120,940",CPA,CPA,1,Communication Services,"53,958,990,763","15,885,012,120","66,912,521,487"
ADG.2018,ADG,2018,0,0.0600,2.7910,0.1675,0.2793,"9,348,671,597","-20,427,937,135","-577,401,444","335,125,002,766",25.51,"120,074,742,886",CPA,CPA,1,Communication Services,"33,531,053,628","20,106,940,905","-8,841,430,152"
ADG.2019,ADG,2019,0,0.1122,1.7369,0.1948,0.3854,"20,068,220,090","46,940,812,320","-553,951,581","362,640,226,981",26.06,"208,782,793,573",Deloitte,CPA,0,Communication Services,"80,471,865,948","40,671,703,006","29,586,748,173"
ADG.2020,ADG,2020,0,0.0869,1.0222,0.0888,0.4603,"184,718,898,016","124,350,537,756","896,392,784","454,895,244,097",26.82,"445,010,182,397",Deloitte,Deloitte,0,Communication Services,"204,822,403,704","39,517,747,913","5,458,914,545"
ADG.2021,ADG,2021,0,0.0660,1.3032,0.0860,0.4007,"-64,504,046,607","-24,674,291,812","5,958,069,063","585,931,386,815",26.83,"449,600,789,258",CPA,Deloitte,3,Communication Services,"180,148,111,892","38,665,781,450","74,902,761,830"
ADG.2022,ADG,2022,0,0.0981,1.3102,0.1286,0.2075,"-25,379,143,860","-95,150,043,445","-5,452,528,249","536,831,515,880",26.74,"409,722,656,773",CPA,CPA,1,Communication Services,"84,998,068,447","52,682,672,025","7,103,621,196"
ADG.2023,ADG,2023,0,0.0540,0.9155,0.0494,0.2306,"-80,451,740,263","18,727,055,169","607,519,924","411,871,183,400",26.83,"449,894,141,551",CPA,CPA,1,Communication Services,"103,725,123,616","22,242,445,322","42,747,467,439"
ADS.2017,ADS,2017,0,0.0418,0.9605,0.0402,0.7247,"139,977,979,117","125,473,585,584","89,433,740,298","1,503,377,958,705",28.08,"1,565,131,935,741",IFC,IFC,1,Consumer Discretionary,"1,134,303,014,496","62,858,760,798","-107,127,930,878"
ADS.2018,ADS,2018,0,0.0307,1.0739,0.0330,0.7361,"150,170,197,215","126,628,681,048","106,195,542,489","1,839,442,890,839",28.17,"1,712,908,182,187",PKF,IFC,2,Consumer Discretionary,"1,260,931,695,544","56,440,342,614","-56,552,845,038"
ADS.2019,ADS,2019,0,0.0049,0.9837,0.0048,0.7675,"117,901,228,142","69,443,631,956","-12,140,944,430","1,705,142,316,528",28.18,"1,733,483,498,402",AVA,PKF,2,Consumer Discretionary,"1,330,375,327,500","8,282,329,120","15,290,298,449"
ADS.2020,ADS,2020,0,0.0183,0.7287,0.0133,0.7703,"39,574,034,818","85,372,131,312","86,961,820,012","1,339,290,824,043",28.24,"1,837,891,122,900",AVA,AVA,1,Consumer Discretionary,"1,415,747,458,812","24,442,416,654","-18,376,924,399"
ADS.2021,ADS,2021,0,0.0664,0.7622,0.0506,0.7059,"-49,675,385,830","-14,481,181,416","93,505,316,318","1,513,151,486,160",28.32,"1,985,168,600,052",AVA,AVA,1,Consumer Discretionary,"1,401,266,277,396","100,486,275,127","125,151,133,823"
ADS.2022,ADS,2022,0,0.0443,0.7758,0.0344,0.6988,"215,811,471,796","123,333,504,442","-120,051,124,276","1,692,604,265,015",28.41,"2,181,694,751,879",AVA,AVA,1,Consumer Discretionary,"1,524,599,781,838","74,943,592,882","139,815,002,025"
ADS.2023,ADS,2023,0,0.0457,0.6557,0.0300,0.6333,"50,992,245,719","60,941,682,835","69,828,679,050","1,641,849,464,703",28.55,"2,503,792,256,902",UHY,AVA,2,Consumer Discretionary,"1,585,541,464,673","74,990,043,518","-97,977,589,433"
AGG.2017,AGG,2017,0,0.1037,0.4035,0.0418,0.9230,"706,424,984,290","36,190,155,415","-397,899,469,674","989,145,459,985",28.53,"2,451,627,793,608",EY,EY,0,Real Estate,"2,262,887,805,302","102,572,476,844","424,571,862,390"
AGG.2018,AGG,2018,0,0.5022,0.4917,0.2470,0.6336,"-168,727,557,277","-811,175,478,195","-621,324,644,788","1,126,585,482,301",28.46,"2,291,059,515,965",EY,EY,0,Real Estate,"1,451,712,327,107","565,801,914,672","738,891,504,076"
AGG.2019,AGG,2019,0,0.8664,0.0712,0.0617,0.7308,"126,857,147,853","2,493,750,611,001","2,558,521,429,738","384,626,718,133",29.32,"5,398,912,884,002",EY,EY,0,Real Estate,"3,945,462,938,108","333,227,557,444","-15,638,407,903"
AGG.2020,AGG,2020,0,0.2536,0.1798,0.0456,0.7621,"815,947,410,025","3,487,190,863,442","3,122,901,954,015","1,753,642,818,367",29.91,"9,753,391,824,042",EY,EY,0,Real Estate,"7,432,653,801,550","444,748,195,840","26,816,893,932"
AGG.2021,AGG,2021,0,0.2316,0.1448,0.0335,0.7871,"2,068,440,499,339","2,456,584,732,698","995,436,473,360","1,818,858,294,221",30.16,"12,564,827,909,056",EY,EY,0,Real Estate,"9,889,238,534,248","421,167,355,783","872,265,329,833"
AGG.2022,AGG,2022,0,0.0156,0.5576,0.0087,0.7544,"1,501,784,501,547","-1,516,328,934,813","-3,006,889,314,252","6,188,634,735,154",30.04,"11,098,528,307,189",EY,EY,0,Real Estate,"8,372,909,599,435","96,554,361,414","2,815,331,306,760"
AGG.2023,AGG,2023,0,0.1183,0.4187,0.0495,0.6905,"195,070,838,489","-1,955,632,964,312","-1,708,287,622,255","3,891,046,850,177",29.86,"9,293,398,076,764",EY,EY,0,Real Estate,"6,417,276,635,123","460,384,055,847","120,747,495,970"
AGM.2017,AGM,2017,0,0.0050,3.1371,0.0157,0.4992,"4,603,112,271","-32,463,583,461","-23,882,825,175","2,255,748,110,785",27.30,"719,049,344,248",EY,EY,0,Consumer Staples,"358,970,828,214","11,264,698,171","44,850,664,156"
AGM.2018,AGM,2018,0,0.0132,3.7604,0.0496,0.3164,"608,518,142","-184,372,286,447","-51,625,325,035","2,075,178,461,895",27.04,"551,853,357,877",EY,EY,0,Consumer Staples,"174,598,541,767","27,396,300,076","106,226,466,208"
AGM.2019,AGM,2019,0,0.0190,2.7465,0.0522,0.4283,"42,848,546,618","156,100,022,009","-19,551,766,642","2,120,478,937,892",27.37,"772,062,115,245",EY,EY,0,Consumer Staples,"330,698,563,776","40,321,068,487","5,841,991,255"
AGM.2020,AGM,2020,0,0.0126,2.5855,0.0326,0.4214,"-12,916,690,153","-11,038,977,401","-37,165,911,597","1,961,400,276,558",27.35,"758,605,691,523",EY,EY,0,Consumer Staples,"319,659,586,375","24,752,553,679","64,263,906,524"
AGM.2021,AGM,2021,0,0.0114,2.1177,0.0241,0.7400,"693,670,060,371","1,054,097,884,879","-3,428,636,672","3,931,417,745,703",28.25,"1,856,416,043,823",PWC,EY,0,Consumer Staples,"1,373,757,471,254","44,712,467,421","-656,347,102,370"
AGM.2022,AGM,2022,0,-0.0679,2.1714,-0.1474,0.8153,"-247,204,446,003","-84,971,570,700","-83,275,098,494","3,432,577,474,767",28.09,"1,580,799,210,745",SV,PWC,3,Consumer Staples,"1,288,785,900,554","-232,982,758,970","-57,298,755,568"
AGM.2023,AGM,2023,1,-0.2800,0.6376,-0.1785,0.9824,"-29,430,620,314","-73,532,704,419","-103,591,242,397","788,771,843,867",27.84,"1,237,079,775,333",SV,SV,1,Consumer Staples,"1,215,253,196,135","-220,865,607,056","107,660,704,662"
ALT.2017,ALT,2017,0,0.0531,0.6335,0.0336,0.0847,"8,549,094,799","445,176,179","-5,392,899,868","144,649,067,123",26.15,"228,319,841,394",AASC,AASC,1,Industrials,"19,338,204,712","7,682,732,707","16,125,800,793"
ALT.2018,ALT,2018,0,0.0478,0.6245,0.0298,0.1576,"2,063,789,012","20,235,702,887","13,363,797,827","156,829,819,565",26.25,"251,119,236,363",AASC,AASC,1,Industrials,"39,573,907,599","7,494,992,753","5,827,175,109"
